date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:39	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2014:58:39%20GMT	http://stadia.google.com/data	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/data.0.delayed	(from )
14:58:40	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2014:53:07%20GMT	https://stadia.google.com/gg	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg.1.delayed	(from )
14:58:40	11131/11131	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index.html	(from )
14:58:40	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2014:46:55%20GMT	https://stadia.google.com/robots.txt		(from )
14:58:42	11782/11782	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2021:15:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-128.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-128.png	(from https://stadia.google.com/gg/)
14:58:44	25897/25897	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Nov%202020%2022:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-192.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-192.png	(from https://stadia.google.com/gg/)
14:58:46	39165/39165	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2021:15:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-256.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-256.png	(from https://stadia.google.com/gg/)
14:58:46	430/430	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2018:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-1125x2436.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-1125x2436.png	(from https://stadia.google.com/gg/)
14:58:47	277/277	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2018:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-828x1792.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-828x1792.png	(from https://stadia.google.com/gg/)
14:58:47	431/431	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2018:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-1242x2208.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-1242x2208.png	(from https://stadia.google.com/gg/)
14:58:47	1605/1605	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2014:58:47%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-750x1334.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-750x1334.a.delayed	(from https://stadia.google.com/gg/)
14:58:48	775/775	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2018:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-2048x2732.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-2048x2732.png	(from https://stadia.google.com/gg/)
14:58:48	581/581	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2018:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-1668x2388.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-1668x2388.png	(from https://stadia.google.com/gg/)
14:58:48	547/547	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2018:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-1668x2224.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-1668x2224.png	(from https://stadia.google.com/gg/)
14:58:49	477/477	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Oct%202020%2018:45:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-splash-1536x2048.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-splash-1536x2048.png	(from https://stadia.google.com/gg/)
14:58:49	67226/67226	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Apr%202020%2017:45:00%20GMT	https://ssl.gstatic.com/stadia/gamers/assets/stadia_logo_and_text_v1.jpg	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/stadia_logo_and_text_v1.jpg	(from https://stadia.google.com/gg/)
14:58:50	4260/4260	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202023%2001:48:00%20GMT	https://stadia.google.com/gg/style/main.css	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/style/main.css	(from https://stadia.google.com/gg/)
14:58:50	11261/11261	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-cs-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-cs-ALL.html	(from https://stadia.google.com/gg/)
14:58:50	11230/11230	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-da-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-da-ALL.html	(from https://stadia.google.com/gg/)
14:58:51	11287/11287	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-de-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-de-ALL.html	(from https://stadia.google.com/gg/)
14:58:51	11287/11287	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-en-GB.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-en-GB.html	(from https://stadia.google.com/gg/)
14:58:52	11260/11260	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-es-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-es-ALL.html	(from https://stadia.google.com/gg/)
14:58:52	11313/11313	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-es-419.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-es-419.html	(from https://stadia.google.com/gg/)
14:58:52	11225/11225	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-fr-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-fr-ALL.html	(from https://stadia.google.com/gg/)
14:58:53	11248/11248	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-fr-CA.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-fr-CA.html	(from https://stadia.google.com/gg/)
14:58:53	11283/11283	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-it-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-it-ALL.html	(from https://stadia.google.com/gg/)
14:58:54	11418/11418	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-hu-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-hu-ALL.html	(from https://stadia.google.com/gg/)
14:58:54	225/225	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2014:53:07%20GMT	https://stadia.google.com/	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/index.html	(from https://stadia.google.com/gg/)
14:58:54	141113/141113	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2021:15:00%20GMT	http://ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-512.png	C:/My%20Web%20Sites/stada%20data%20s/ssl.gstatic.com/stadia/gamers/assets/app-icon-v2-512.png	(from https://stadia.google.com/gg/)
14:58:54	11223/11223	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-nl-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-nl-ALL.html	(from https://stadia.google.com/gg/)
14:58:54	11195/11195	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-no-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-no-ALL.html	(from https://stadia.google.com/gg/)
14:58:55	11269/11269	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-pl-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-pl-ALL.html	(from https://stadia.google.com/gg/)
14:58:55	11225/11225	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-pt-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-pt-ALL.html	(from https://stadia.google.com/gg/)
14:58:55	11328/11328	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-ro-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-ro-ALL.html	(from https://stadia.google.com/gg/)
14:58:56	11291/11291	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-sk-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-sk-ALL.html	(from https://stadia.google.com/gg/)
14:58:56	11147/11147	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2023:58:00%20GMT	https://stadia.google.com/gg/index-fi-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-fi-ALL.html	(from https://stadia.google.com/gg/)
14:58:56	11202/11202	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-sv-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-sv-ALL.html	(from https://stadia.google.com/gg/)
14:58:57	11408/11408	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2021:58:00%20GMT	https://stadia.google.com/gg/index-tr-ALL.html	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/index-tr-ALL.html	(from https://stadia.google.com/gg/)
14:58:57	431928/431928	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2020:38:00%20GMT	https://stadia.google.com/gg/image/stadia_controller.png	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/image/stadia_controller.png	(from https://stadia.google.com/gg/)
14:58:58	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Apr%202023%2014:32:09%20GMT	https://stadia.google.com/controller	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/controller.24.delayed	(from https://stadia.google.com/gg/)
14:58:58	1981/1981	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Dec%202022%2020:38:00%20GMT	https://stadia.google.com/gg/image/logo-full.svg	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg/image/logo-full.svg	(from https://stadia.google.com/gg/)
14:58:58	0/-1	---M--	301	error ('')			https://stadia.google.com/gg	C:/My%20Web%20Sites/stada%20data%20s/stadia.google.com/gg.26.delayed	(from https://stadia.google.com/)
